"activity","address","city","code","codedescription","createddate","duedate","neighborhood","servicerequestnum","state","status","statusdate","updateddate","zip","outcome","lon","lat"
"Dispatch Work Crew","W MULBERRY ST &N PULASKI ST","BALTIMORE CITY","BGESLPIN","BGE-StLight Pole Installation","2014-09-22T10:35:35.000","2014-10-13T10:35:35.000","MIDTOWN-EDMONDSON","14-00713347","MD","CLOSED","2014-12-15T11:35:51.000","2014-09-25T13:06:00.000","21223",NA,-95.4452916,29.1638541
"Cityworks SR Comments","ORLEANS ST &N WASHINGTON ST","BALTIMORE","BGESLPIN","BGE-StLight Pole Installation","2015-01-18T06:25:08.000","2015-02-08T06:25:08.000","MIDDLE EAST","15-00039023","MD","CLOSED","2015-03-03T12:14:07.000","2015-01-18T07:22:49.000","21231","UPDATED",-76.5939633,39.2952793
"Cityworks SR Comments","4099  HILLEN RD","BALTIMORE","BGESLPIN","BGE-StLight Pole Installation","2015-05-13T18:16:07.000","2015-06-03T18:16:07.000","MONTEBELLO","15-00375887","MD","CLOSED","2015-05-20T18:13:17.000","2015-05-13T18:32:10.000","21218","UPDATED",-76.5878091,39.3399254
"Dispatch Work Crew","4222  OAKFORD AVE","BALTIMORE","BGESLPIN","BGE-StLight Pole Installation","2015-05-12T15:52:35.000","2015-06-02T15:52:35.000","WEST ARLINGTON","15-00371058","MD","CLOSED","2015-06-25T12:12:04.000","2015-05-14T13:37:00.000","21215",NA,-76.69149,39.335887
"Dispatch Work Crew","POTEE ST &W PATAPSCO AVE","BALTIMORE","BGESLPIN","BGE-StLight Pole Installation","2014-11-16T10:42:32.000","2014-12-07T10:42:32.000","BROOKLYN","14-00863308","MD","O-WIP","2014-11-21T19:26:35.000","2014-11-19T11:24:00.000","21225",NA,-76.6112797,39.2451633
"Dispatch Work Crew","4400  WABASH AVE","BALTIMORE","BGESLPIN","BGE-StLight Pole Installation","2015-02-13T20:04:05.000","2015-03-06T20:04:05.000","DOLFIELD","15-00106000","MD","CLOSED","2015-04-17T13:05:30.000","2015-02-19T11:48:00.000","21215",NA,-76.6740362,39.3365531
"Dispatch Work Crew","DORCHESTER RD & AYRDALE AVE","BALTIMORE CITY","BGESLPIN","BGE-StLight Pole Installation","2014-10-28T13:07:22.000","2014-11-18T13:07:22.000","CALLAWAY-GARRISON","14-00809260","MD","CLOSED","2014-10-30T18:49:29.000","2014-10-30T18:49:00.000","21215",NA,-2.6738565,50.7284235
"Cityworks SR Comments","1500  THAMES ST","BALTIMORE","BGESLPIN","BGE-StLight Pole Installation","2014-12-15T03:43:19.000","2015-01-05T03:43:19.000","FELLS POINT","14-00932031","MD","CLOSED","2015-03-26T12:11:27.000","2014-12-15T04:05:07.000","21231","UPDATED",-76.5956538,39.2805055
"Dispatch Work Crew","6704  CROSS COUNTRY BLVD","BALTIMORE","BGESLPIN","BGE-StLight Pole Installation","2015-05-29T10:41:59.000","2015-06-19T10:41:59.000","CROSS COUNTRY","15-00418977","MD","CLOSED","2015-06-10T15:59:38.000","2015-06-05T12:26:00.000","21215",NA,-76.698244,39.364247
"Dispatch Work Crew","5707  RUBIN AVE","BALTIMORE","BGESLPIN","BGE-StLight Pole Installation","2015-07-15T15:04:05.000","2015-08-05T15:04:05.000","GLEN","15-00557227","MD","O-WIP","2015-07-27T17:04:10.000","2015-07-17T12:19:00.000","21215",NA,-76.690697,39.351801
"Dispatch Work Crew","S EXETER ST & ALICEANNA ST","BALTIMORE","BGESLPIN","BGE-StLight Pole Installation","2015-01-29T16:08:46.000","2015-02-19T16:08:46.000","INNER HARBOR","15-00066787","MD","CLOSED","2015-04-23T11:34:28.000","2015-02-02T11:33:00.000","21202",NA,-76.600776,39.28671
"Dispatch Work Crew","W NORTHERN PKWY & ST GEORGES RD","BALTIMORE CITY","BGESLPIN","BGE-StLight Pole Installation","2014-09-26T18:10:57.000","2014-10-17T18:10:57.000","NORTH ROLAND PARK/POPLAR HILL","14-00728566","MD","CLOSED","2014-10-16T11:45:02.000","2014-09-26T18:11:00.000","21210",NA,-76.6656161,39.3557104
"Dispatch Work Crew","1803 W ROGERS AVE","BALTIMORE","BGESLPIN","BGE-StLight Pole Installation","2015-03-01T13:17:29.000","2015-03-22T13:17:29.000","MOUNT WASHINGTON","15-00156901","MD","CLOSED","2015-03-04T18:18:34.000","2015-03-04T18:18:00.000","21209",NA,-76.653598,39.361745
"Cityworks SR Comments","E 42ND ST & YORK RD","BALTIMORE CITY","BGESLPIN","BGE-StLight Pole Installation","2014-10-19T14:42:03.000","2014-11-09T14:42:03.000","PEN LUCY","14-00786965","MD","CLOSED","2014-11-26T11:25:59.000","2014-10-19T15:06:38.000","21218","UPDATED",-102.3513918,31.8897092
NA,"9 E WEST ST","BALTIMORE","BGESLPIN","BGE-StLight Pole Installation","2015-07-15T13:59:06.000","2015-08-05T13:59:06.000","FEDERAL HILL","15-00556880","MD","O-WIP","2015-07-27T13:20:17.000",NA,"21230",NA,-76.6137151,39.2756466
"Dispatch Work Crew","117 N MOUNT ST","BALTIMORE","BGESLPIN","BGE-StLight Pole Installation","2015-04-22T17:33:52.000","2015-05-13T17:33:52.000","FRANKLIN SQUARE","15-00315944","MD","CLOSED","2015-06-05T13:30:33.000","2015-04-24T11:37:00.000","21223",NA,-76.6436772,39.2902906
"Dispatch Work Crew","2301  GWYNNS FALLS PKWY","BALTIMORE","BGESLPIN","BGE-StLight Pole Installation","2015-07-27T18:14:57.000","2015-08-17T18:14:57.000","MONDAWMIN","15-00594114","MD","O-WIP","2015-07-29T19:07:22.000","2015-07-29T12:24:00.000","21217",NA,-76.6547952,39.3148021
"Cityworks SR Comments","1690  DARLEY AVE","BALTIMORE","BGESLPIN","BGE-StLight Pole Installation","2015-05-26T15:53:48.000","2015-06-16T15:53:48.000","DARLEY PARK","15-00408487","MD","CLOSED","2015-05-28T11:17:12.000","2015-05-26T16:12:37.000","21213","UPDATED",-76.5939031,39.3148716
NA,"2500 W PATAPSCO AVE","BALTIMORE","BGESLPIN","BGE-StLight Pole Installation","2015-03-10T18:49:55.000","2015-03-31T18:49:55.000","LAKELAND","15-00187813","MD","CLOSED","2015-03-10T18:50:58.000",NA,"21230",NA,-76.6509926,39.2527678
NA,"W REDWOOD ST &S ARCH ST","BALTIMORE CITY","BGESLPIN","BGE-StLight Pole Installation","2014-10-27T17:42:35.000","2014-11-17T17:42:35.000","UNIVERSITY OF MARYLAND","14-00807627","MD","CLOSED","2014-12-09T12:48:49.000",NA,"21201",NA,-89.9728332,44.9198347
"Cityworks SR Comments","725 S ROSE ST","BALTIMORE","BGESLPIN","BGE-StLight Pole Installation","2014-09-07T20:24:01.000","2014-09-28T20:24:01.000","CANTON","14-00673525","MD","CLOSED","2014-10-08T11:59:49.000","2014-09-07T20:59:56.000","21224","UPDATED",-76.5803668,39.283361
"Dispatch Work Crew","2500 W PATAPSCO AVE","BALTIMORE","BGESLPIN","BGE-StLight Pole Installation","2015-03-10T18:52:11.000","2015-03-31T18:52:11.000","LAKELAND","15-00187831","MD","O-WIP","2015-03-17T13:51:53.000","2015-03-10T18:54:00.000","21230",NA,-76.6509926,39.2527678
"Dispatch Work Crew","S WICKHAM RD & WILLISTON ST","BALTIMORE","BGESLPIN","BGE-StLight Pole Installation","2015-05-15T12:35:35.000","2015-06-05T12:35:35.000","BEECHFIELD","15-00381795","MD","CLOSED","2015-06-24T17:26:46.000","2015-05-20T11:00:00.000","21229",NA,-80.6726161,28.095906
"Cityworks SR Comments","1 N ANN ST","BALTIMORE","BGESLPIN","BGE-StLight Pole Installation","2015-07-10T06:06:24.000","2015-07-31T06:06:24.000","WASHINGTON HILL","15-00541352","MD","O-WIP","2015-07-22T19:05:29.000","2015-07-11T10:32:20.000","21231","UPDATED",-76.591548,39.29195
