"address","city","code","codedescription","createddate","duedate","neighborhood","servicerequestnum","state","status","statusdate","zip","activity","outcome","updateddate","lon","lat"
"10 WEST FALLS AVE","BALTIMORE","SIGNFADE","TRT-Sign Faded","2015-07-03T07:23:57.000","2015-08-22T07:23:57.000","DOWNTOWN","15-00522402","MD","OPEN","2015-07-03T07:23:57.000","21202",NA,NA,NA,NA,NA
"2001 E FAIRMOUNT AVE","BALTIMORE","SIGNFADE","TRT-Sign Faded","2015-05-28T12:35:00.000","2015-07-17T12:35:00.000","BUTCHER'S HILL","15-00415480","MD","DUPCLOSD","2015-07-08T11:52:02.000","21231",NA,NA,NA,NA,NA
"2014  RIDGEHILL AVE","BALTIMORE","SIGNFADE","TRT-Sign Faded","2015-05-29T13:43:17.000","2015-07-18T13:43:17.000","MONDAWMIN","15-00419927","MD","O-PENDNG","2015-07-01T18:02:14.000","21217",NA,NA,NA,NA,NA
"3400 W MULBERRY ST","BALTIMORE","SIGNFADE","TRT-Sign Faded","2015-05-22T17:11:16.000","2015-07-11T17:11:16.000","ALLENDALE","15-00402038","MD","O-PENDNG","2015-07-17T16:15:47.000","21229",NA,NA,NA,NA,NA
"875 W FAYETTE ST","BALTIMORE","SIGNFADE","TRT-Sign Faded","2015-07-22T13:45:27.000","2015-09-10T13:45:27.000","POPPLETON","15-00577699","MD","OPEN","2015-07-22T14:48:06.000","21201",NA,NA,NA,NA,NA
"100  MOSHER ST","BALTIMORE","SIGNFADE","TRT-Sign Faded","2015-05-29T13:33:42.000","2015-07-18T13:33:42.000","BOLTON HILL","15-00419872","MD","O-PENDNG","2015-07-17T16:24:14.000","21217",NA,NA,NA,NA,NA
"1155 N FULTON AVE","BALTIMORE","SIGNFADE","TRT-Sign Faded","2015-06-10T17:53:10.000","2015-07-30T17:53:10.000","SANDTOWN-WINCHESTER","15-00453082","MD","CLOSED","2015-06-24T19:05:08.000","21217","Dispatch Investigator","Insufficent location information","2015-06-24T19:04:00.000",NA,NA
"839 N FULTON AVE","BALTIMORE","SIGNFADE","TRT-Sign Faded","2015-04-06T17:26:55.000","2015-05-26T17:26:55.000","HARLEM PARK","15-00268107","MD","CLOSED","2015-05-19T17:42:57.000","21217",NA,NA,NA,NA,NA
"1200  EDMONDSON AVE","BALTIMORE","SIGNFADE","TRT-Sign Faded","2015-06-15T18:17:50.000","2015-08-04T18:17:50.000","HARLEM PARK","15-00465216","MD","O-PENDNG","2015-07-17T12:07:18.000","21223",NA,NA,NA,NA,NA
"2200  CECIL AVE","BALTIMORE","SIGNFADE","TRT-Sign Faded","2015-05-19T10:58:03.000","2015-07-08T10:58:03.000","EAST BALTIMORE MIDWAY","15-00390803","MD","CLOSED","2015-07-30T10:20:28.000","21218","Generate Work Order","Sign erected","2015-07-30T10:20:00.000",NA,NA
"925 S CHARLES ST","BALTIMORE","SIGNFADE","TRT-Sign Faded","2015-06-12T10:55:42.000","2015-08-01T10:55:42.000","FEDERAL HILL","15-00457041","MD","CLOSED","2015-07-24T12:20:23.000","21230","Generate Work Order","Sign erected","2015-07-24T12:20:00.000",NA,NA
"5300  PARK HEIGHTS AVE","BALTIMORE","SIGNFADE","TRT-Sign Faded","2015-07-17T17:35:57.000","2015-09-05T17:35:57.000","ARLINGTON","15-00565269","MD","OPEN","2015-07-17T18:12:18.000","21215",NA,NA,NA,NA,NA
"500 S CHARLES ST","BALTIMORE","SIGNFADE","TRT-Sign Faded","2015-05-20T14:43:30.000","2015-07-09T14:43:30.000","OTTERBEIN","15-00395481","MD","OPEN","2015-06-09T13:24:31.000","21201",NA,NA,NA,NA,NA
"3020 E FAYETTE ST","BALTIMORE","SIGNFADE","TRT-Sign Faded","2015-07-22T13:35:03.000","2015-09-10T13:35:03.000","ELLWOOD PARK/MONUMENT","15-00577634","MD","OPEN","2015-07-22T14:44:25.000","21224",NA,NA,NA,NA,NA
"1535 W FAYETTE ST","BALTIMORE","SIGNFADE","TRT-Sign Faded","2015-07-22T13:58:20.000","2015-09-10T13:58:20.000","FRANKLIN SQUARE","15-00577773","MD","OPEN","2015-07-22T16:45:02.000","21223",NA,NA,NA,NA,NA
"4501 N CHARLES ST","BALTIMORE","SIGNFADE","TRT-Sign Faded","2015-05-28T17:23:57.000","2015-07-17T17:23:57.000","LOYOLA/NOTRE DAME","15-00417266","MD","CLOSED","2015-07-30T10:21:33.000","21210","Generate Work Order","Sign erected","2015-07-30T10:21:00.000",NA,NA
"6017  SYCAMORE RD","BALTIMORE","SIGNFADE","TRT-Sign Faded","2015-08-04T20:30:26.000","2015-09-23T20:30:26.000","LAKE EVESHAM","15-00618650","MD","OPEN","2015-08-04T20:30:26.000","21212",NA,NA,NA,NA,NA
"4432  PARK HEIGHTS AVE","BALTIMORE","SIGNFADE","TRT-Sign Faded","2015-06-04T18:28:11.000","2015-07-24T18:28:11.000","CENTRAL PARK HEIGHTS","15-00437462","MD","O-PENDNG","2015-07-14T13:04:09.000","21215",NA,NA,NA,NA,NA
