"activity","address","city","code","codedescription","createddate","duedate","neighborhood","servicerequestnum","state","status","statusdate","updateddate","zip","outcome","lon","lat"
NA,"5300  WILLOWTON AVE","BALTIMORE CITY","STREETL6","TRM-StLighting Inadequate/too bright","2014-08-14T11:52:46.000","2014-09-23T11:52:46.000","PERRING LOCH","14-00608998","MD","CLOSED","2014-08-25T12:42:57.000",NA,"21239",NA,NA,NA
"Dispatch lighting Inspector","1405  EUTAW PL","BALTIMORE CITY","STREETL6","TRM-StLighting Inadequate/too bright","2014-08-12T13:38:52.000","2014-09-21T13:38:52.000","BOLTON HILL","14-00602118","MD","CLOSED","2014-09-17T19:04:14.000","2014-09-17T19:03:00.000","21217",NA,NA,NA
"Dispatch lighting Inspector","WINTERBOURNE RD & NORTONIA RD","BALTIMORE CITY","STREETL6","TRM-StLighting Inadequate/too bright","2014-08-10T10:23:18.000","2014-09-19T10:23:18.000","FAIRMONT","14-00596672","MD","CLOSED","2014-12-22T12:23:06.000","2014-08-11T12:35:00.000","21216",NA,NA,NA
NA,"3700  PARKMONT AVE","BALTIMORE CITY","STREETL6","TRM-StLighting Inadequate/too bright","2014-08-09T13:02:58.000","2014-09-18T13:02:58.000","GLENHAM-BELFORD","14-00595843","MD","CLOSED","2014-08-25T12:40:40.000",NA,"21206",NA,NA,NA
"Dispatch lighting Inspector","CALLENDAR ST &W LOMBARD ST","BALTIMORE CITY","STREETL6","TRM-StLighting Inadequate/too bright","2014-08-07T19:03:14.000","2014-09-16T19:03:14.000","HOLLINS MARKET","14-00590978","MD","CLOSED","2014-09-09T11:34:36.000","2014-09-09T11:34:00.000","21201",NA,NA,NA
NA,"E PONTIAC AVE & 5TH ST","BALTIMORE CITY","STREETL6","TRM-StLighting Inadequate/too bright","2014-08-07T12:35:44.000","2014-09-16T12:35:44.000","BROOKLYN","14-00588821","MD","CLOSED","2014-08-08T18:27:38.000",NA,"21225",NA,NA,NA
"Dispatch lighting Inspector","4136  WELDON PL W","BALTIMORE CITY","STREETL6","TRM-StLighting Inadequate/too bright","2014-08-05T17:46:43.000","2014-09-14T17:46:43.000","MEDFIELD","14-00583042","MD","CLOSED","2014-08-22T12:43:49.000","2014-08-22T12:43:00.000","21211",NA,NA,NA
NA,"GUILFORD AVE &E 25TH ST","BALTIMORE CITY","STREETL6","TRM-StLighting Inadequate/too bright","2014-08-05T13:22:24.000","2014-09-14T13:22:24.000","HARWOOD","14-00581472","MD","CLOSED","2014-10-03T18:00:10.000",NA,"21218",NA,NA,NA
NA,"1107  MCDONOGH ST","BALTIMORE CITY","STREETL6","TRM-StLighting Inadequate/too bright","2014-08-05T12:13:07.000","2014-09-14T12:13:07.000","MIDDLE EAST","14-00580985","MD","CLOSED","2014-09-23T11:46:48.000",NA,"21213",NA,NA,NA
"Dispatch lighting Inspector","4838  PARK HEIGHTS AVE","BALTIMORE CITY","STREETL6","TRM-StLighting Inadequate/too bright","2014-08-04T15:15:03.000","2014-09-13T15:15:03.000","CENTRAL PARK HEIGHTS","14-00578661","MD","CLOSED","2014-08-06T19:06:39.000","2014-08-06T19:06:00.000","21215",NA,NA,NA
