"activity","address","city","code","codedescription","createddate","duedate","neighborhood","outcome","servicerequestnum","state","status","statusdate","updateddate","zip","lon","lat"
"Dispatch Work Crew","2900","BALTIMORE","ZTRMDEBR","TRM-Debris in Roadway","2015-04-06T18:02:49.000","2015-04-06T18:02:49.000","JONES FALLS AREA","Debris Removed (Closed)","15-00268295","MD","CLOSED","2015-04-06T18:33:18.000","2015-04-06T18:33:00.000",NA,NA,NA
"Dispatch Work Crew","I 83 N & RAMP","BALTIMORE","ZTRMDEBR","TRM-Debris in Roadway","2015-04-06T17:50:12.000","2015-04-06T17:50:12.000","CROSS KEYS","Debris Removed (Closed)","15-00268244","MD","CLOSED","2015-04-06T18:16:45.000","2015-04-06T18:16:00.000","21210",NA,NA
"Dispatch Work Crew","I 83 N &W COLD SPRING LN","BALTIMORE","ZTRMDEBR","TRM-Debris in Roadway","2015-04-06T17:42:06.000","2015-04-06T17:42:06.000","MEDFIELD","No Trouble Found (Closed)","15-00268204","MD","CLOSED","2015-04-14T21:39:25.000","2015-04-14T21:39:00.000","21209",NA,NA
"Dispatch Work Crew","I 83 N &W 29TH ST","BALTIMORE","ZTRMDEBR","TRM-Debris in Roadway","2015-04-06T17:40:15.000","2015-04-06T17:40:15.000","DRUID HILL PARK","Debris Removed (Closed)","15-00268193","MD","CLOSED","2015-04-06T18:17:09.000","2015-04-06T18:17:00.000","21211",NA,NA
"Dispatch Work Crew","3000 E FEDERAL ST","BALTIMORE","ZTRMDEBR","TRM-Debris in Roadway","2015-04-06T14:34:21.000","2015-04-06T14:34:21.000","BEREA","Debris Removed (Closed)","15-00267113","MD","CLOSED","2015-04-06T17:33:37.000","2015-04-06T17:32:00.000","21213",NA,NA
"Dispatch Work Crew","1000  CURTAIN AVE","BALTIMORE","ZTRMDEBR","TRM-Debris in Roadway","2015-04-06T11:35:26.000","2015-04-06T11:35:26.000","EAST BALTIMORE MIDWAY","No Trouble Found (Closed)","15-00266103","MD","CLOSED","2015-04-06T14:52:25.000","2015-04-06T14:52:00.000","21218",NA,NA
"Dispatch Work Crew","1600 W NORTH AVE","BALTIMORE","ZTRMDEBR","TRM-Debris in Roadway","2015-04-05T14:51:45.000","2015-04-05T14:51:45.000","PENN NORTH","No Trouble Found (Closed)","15-00265198","MD","CLOSED","2015-04-05T15:34:59.000","2015-04-05T15:27:00.000","21217",NA,NA
"Dispatch Work Crew","I 83 N &W COLD SPRING LN","BALTIMORE","ZTRMDEBR","TRM-Debris in Roadway","2015-04-05T14:29:28.000","2015-04-05T14:29:28.000","MEDFIELD","No Trouble Found (Closed)","15-00265177","MD","CLOSED","2015-04-05T15:16:56.000","2015-04-05T15:16:00.000","21209",NA,NA
"Dispatch Work Crew","3000 S HANOVER ST","BALTIMORE","ZTRMDEBR","TRM-Debris in Roadway","2015-04-04T18:21:30.000","2015-04-04T18:21:30.000","MIDDLE BRANCH/REEDBIRD PARKS","Debris Removed (Closed)","15-00264618","MD","CLOSED","2015-04-04T19:45:42.000","2015-04-04T19:45:00.000","21225",NA,NA
"Dispatch Work Crew","224 E BIDDLE ST","BALTIMORE","ZTRMDEBR","TRM-Debris in Roadway","2015-04-04T18:00:20.000","2015-04-04T18:00:20.000","MID-TOWN BELVEDERE","Debris Removed (Closed)","15-00264583","MD","CLOSED","2015-04-04T19:33:41.000","2015-04-04T19:33:00.000","21202",NA,NA
