"","latitude","longitude","deathdate","ptype","druginv","alcinv","accdate"
"460","39.12110278","-76.98886111","0","1","8","8","3242003"
"461","39.12110278","-76.98886111","0","2","8","8","3242003"
"462","39.12110278","-76.98886111","0","2","8","8","3242003"
"463","39.12110278","-76.98886111","0","2","8","8","3242003"
"464","39.12110278","-76.98886111","0","1","8","8","3242003"
"465","39.12110278","-76.98886111","0","2","8","8","3242003"
"466","39.12110278","-76.98886111","3242003","2","8","8","3242003"
"467","39.68421111","-79.08338611","0","1","8","0","3282003"
"468","39.68421111","-79.08338611","3282003","1","8","8","3282003"
"469","39.68421111","-79.08338611","0","1","8","0","3282003"
"470","39.68421111","-79.08338611","0","2","8","8","3282003"
"471","39.34087222","-76.72284167","4052003","2","8","1","4052003"
"472","39.34087222","-76.72284167","4052003","1","8","1","4052003"
"473","38.54611389","-77.06975833","4022003","1","8","8","4022003"
"474","38.54611389","-77.06975833","0","1","8","0","4022003"
"475","38.54611389","-77.06975833","0","2","8","8","4022003"
"476","39.08969444","-76.62353611","4042003","1","8","8","4042003"
"477","39.08969444","-76.62353611","4042003","1","8","0","4042003"
"478","38.92460278","-76.35525","4042003","1","8","8","4042003"
"479","39.29233333","-76.52007778","4052003","1","8","1","4052003"
"480","39.29233333","-76.52007778","0","2","8","8","4052003"
"481","38.43346111","-76.7255","1142003","1","8","1","1142003"
"482","38.80178611","-76.99853056","1152003","1","8","8","1152003"
"483","38.80178611","-76.99853056","0","1","8","0","1152003"
"484","39.32857222","-76.60360833","2282003","1","8","8","2282003"
"485","39.32857222","-76.60360833","0","2","8","8","2282003"
"486","39.32857222","-76.60360833","2282003","2","8","8","2282003"
