"lat","lon","type"
39.2613376,-76.5343579,"Hazard"
39.336175,-76.59601,"Hazard"
39.317422,-76.5973659,"Hazard"
39.2778405,-76.5738862,"Hazard"
39.369002,-76.612363,"Hazard"
39.330218,-76.639913,"Hazard"
39.327681,-76.6820539,"Hazard"
39.327681,-76.6820539,"Hazard"
39.3299247,-76.640342,"Hazard"
39.3299247,-76.640342,"Hazard"
39.355936,-76.570089,"Hazard"
39.37047,-76.545248,"Hazard"
39.341523,-76.5351965,"Hazard"
39.362311,-76.625354,"Hazard"
39.364377,-76.6896986,"Hazard"
39.278678,-76.629171,"Hazard"
39.285083,-76.628574,"Hazard"
39.288056,-76.544453,"Hazard"
39.323675,-76.621991,"Hazard"
39.280035,-76.629123,"Hazard"
39.354923,-76.5962,"Hazard"
39.334349,-76.704082,"Hazard"
39.2572396,-76.6301974,"Hazard"
39.3580502,-76.5733795,"Hazard"
39.2827394,-76.5621649,"Hazard"
39.2883275,-76.5860044,"Hazard"
39.289796,-76.585944,"Hazard"
39.309933,-76.624756,"Hazard"
39.3043799,-76.5593739,"Hazard"
39.3123984,-76.7065635,"Hazard"
39.2894234,-76.5846985,"Hazard"
39.2795085,-76.629807,"Hazard"
39.336003,-76.617806,"Hazard"
39.293552,-76.583652,"Hazard"
39.3077003,-76.620535,"Hazard"
39.311937,-76.680456,"Hazard"
39.292995,-76.673201,"Hazard"
39.324833,-76.590534,"Hazard"
39.339918,-76.555774,"Hazard"
39.338008,-76.556383,"Hazard"
39.288856,-76.545055,"Hazard"
39.2904861,-76.5422742,"Hazard"
39.360518,-76.69109,"Hazard"
39.358597,-76.691846,"Hazard"
39.2877352,-76.5473767,"Hazard"
39.341747,-76.537496,"Hazard"
39.2959888,-76.7084394,"Hazard"
39.3561737,-76.5925499,"Hazard"
39.3189114,-76.6094637,"Hazard"
39.316378,-76.609774,"Hazard"
39.343079,-76.5663019,"Hazard"
39.3249489,-76.687217,"Hazard"
39.28793,-76.656605,"Hazard"
39.3009424,-76.6341312,"Hazard"
39.303926,-76.6280394,"Hazard"
39.3027846,-76.6295683,"Hazard"
39.305517,-76.626317,"Hazard"
39.3019296,-76.6327403,"Hazard"
39.303724,-76.6301063,"Hazard"
39.3043701,-76.6314878,"Hazard"
39.3067544,-76.6203972,"Hazard"
39.3033089,-76.6308888,"Hazard"
39.3060458,-76.6315462,"Hazard"
39.3069393,-76.6300603,"Hazard"
39.3060458,-76.6315462,"Hazard"
39.35975,-76.538746,"Hazard"
39.274247,-76.615645,"Hazard"
39.296977,-76.683494,"Hazard"
39.235299,-76.611465,"Hazard"
39.234914,-76.611684,"Hazard"
39.3050008,-76.6077004,"Hazard"
39.3050008,-76.6077004,"Hazard"
39.27527,-76.6151,"Hazard"
39.304639,-76.607997,"Hazard"
39.2974887,-76.6988269,"Hazard"
39.236432,-76.603583,"Hazard"
39.3187078,-76.6481616,"Hazard"
39.355868,-76.615008,"Hazard"
39.3463427,-76.535595,"Hazard"
